particle,mean_vx_px_per_frame,mean_vy_px_per_frame,mean_speed_px_per_frame,n_steps,rms_residual_speed_px_per_frame,mean_vx_px_per_s,mean_vy_px_per_s,mean_speed_px_per_s,mean_vx_um_per_s,mean_vy_um_per_s,mean_speed_um_per_s,rms_residual_speed_px_per_s,rms_residual_speed_um_per_s,D_m2_per_s,k_B_est_J_per_K,k_B_ratio_to_accepted
129,-0.0003286990171396304,0.00011882747617878812,0.09288926216742945,456,0.1744913300257725,-0.011413087273122246,0.0041259276278798815,3.2253009609774854,-0.0028532718182805615,0.0010314819069699704,0.8063252402443714,6.058687961154873,1.5146719902887182,,,
132,0.13546673382587526,0.22026527423647002,0.7665136131523941,691,0.8904713754414005,4.703675931902041,7.648050852038712,26.614885675877428,1.1759189829755103,1.912012713009678,6.653721418969357,30.91894709807631,7.729736774519077,,,
133,-0.06054258464083126,-0.003983388501701623,1.3752231018894925,98,1.791514958000888,-2.102159623898943,-0.13831121555608375,47.75049654380696,-0.5255399059747358,-0.03457780388902094,11.93762413595174,62.20498237170683,15.551245592926708,,,
134,0.1020676558256916,0.18743425365887761,0.7774815942142173,395,0.9419803417985398,3.5439931455796643,6.508092155543549,26.995715914306054,0.8859982863949161,1.6270230388858873,6.748928978576513,32.7074414279289,8.176860356982225,,,
136,0.008898554706268607,0.01173288822757389,0.398404111286928,22,0.5172305012265066,0.3089756165110586,0.40738934503782065,13.833387552104714,0.07724390412776465,0.10184733625945516,3.4583468880261785,17.959277463586762,4.4898193658966905,,,
137,0.06687167921966326,0.09985533057605425,0.9278619375368895,102,1.1290561849734708,2.321918445865148,3.4671767882617557,32.21722219515588,0.580479611466287,0.8667941970654389,8.05430554878897,39.203088854648854,9.800772213662214,,,
138,-0.0026834584454886127,0.0012003530224555406,0.3528002619511512,1206,0.4241461735120833,-0.09317504414425562,0.041678657645701285,12.249930695467873,-0.023293761036063905,0.010419664411425321,3.062482673866968,14.727203436686557,3.681800859171639,,,
140,0.08720222874285671,0.17945818432988123,0.5712564964853877,54,0.6492254064715743,3.027835786409471,6.231147076302136,19.835168070965633,0.7569589466023677,1.557786769075534,4.958792017741408,22.542404563506004,5.635601140876501,,,
141,0.0863879564425055,0.23628237624804066,0.8341636776656592,67,1.14856577536162,2.999562623596676,8.204196668084467,28.96383121590702,0.749890655899169,2.051049167021117,7.240957803976755,39.880500852106174,9.970125213026543,,,
143,0.14908477936017914,0.18963049745991248,0.7831847851502416,328,0.8973093349559985,5.17652170894414,6.584350132803081,27.19374210998669,1.294130427236035,1.6460875332007703,6.798435527496673,31.156374728342183,7.789093682085546,,,
145,0.00048506595850856523,0.0006132494213393263,0.1101811281273789,345,0.1466977151409737,0.0168424602113344,0.02129324640774409,3.8257091308388502,0.0042106150528336,0.005323311601936023,0.9564272827097126,5.09363806512489,1.2734095162812225,,,
147,-0.00010647175923495842,9.416392936450484e-05,0.23530015228597856,802,0.3295843135017706,-0.0036969124241562263,0.003269559955394337,8.170091887673747,-0.0009242281060390566,0.0008173899888485843,2.042522971918437,11.443826533408478,2.8609566333521195,,,
148,-0.01217651255805121,0.06261233414902836,0.5886202105696839,257,0.6954504386058539,-0.4227928690406541,2.174025466322563,20.438070951400565,-0.10569821726016353,0.5435063665806408,5.109517737850141,24.147430129272458,6.036857532318114,,,
150,9.918898644126325e-05,7.549397402473622e-05,0.3439698962140543,1227,0.4335893083953515,0.003444039987213543,0.0026213017660868913,11.943322736344395,0.0008610099968033857,0.0006553254415217228,2.985830684086099,15.055087966103395,3.7637719915258487,,,
151,0.1439323861426407,0.13535986750103243,0.8009357446124336,102,0.9555566447673428,4.997620311644771,4.699965319370849,27.81009092443292,1.2494050779111927,1.1749913298427122,6.95252273110823,33.17883781961168,8.29470945490292,,,
152,0.1853830801017984,0.08313106475872499,0.6768563489726748,26,0.7828561691763519,6.436871307294645,2.886476830552449,23.501806149029214,1.6092178268236612,0.7216192076381123,5.8754515372573035,27.182331906141293,6.795582976535323,,,
153,-0.005923323513426309,0.030186779498403805,0.7944141421686937,296,1.1836241652565118,-0.2056696390331883,1.0481453577435769,27.58364784438138,-0.051417409758297075,0.2620363394358942,6.895911961095345,41.097798266036605,10.274449566509151,,,
154,0.09321777134633386,0.030725322393332925,0.593809446267905,69,0.6689301171275012,3.2367074566874043,1.0668446441413058,20.6182515933142,0.8091768641718511,0.26671116103532644,5.15456289832855,23.226591526901096,5.806647881725274,,,
156,0.18265663347087047,0.1820740685014139,0.8535503989883,86,1.0865368059304805,6.342203627375564,6.321975806506093,29.636976953671752,1.585550906843891,1.5804939516265233,7.409244238417938,37.726730975518144,9.431682743879536,,,
157,0.10624368606753375,0.20232759359184085,0.70299847737085,55,0.8348673960540051,3.688993267636907,7.025218704695899,24.409513131270653,0.9222483169092267,1.7563046761739747,6.102378282817663,28.988265725787166,7.247066431446791,,,
158,0.00461058003962351,0.0014684882900685506,0.9343770446785898,448,1.1757236160505362,0.16008856013580752,0.05098885040776022,32.44343974533,0.04002214003395188,0.012747212601940054,8.1108599363325,40.82347539650672,10.20586884912668,,,
